TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1480632109,"North Station","171","Newburyport",1480632000,0,"2","All Aboard"
1480632109,"North Station","335","Lowell",1480632600,0,,"On Time"
1480632109,"North Station","423","Wachusett",1480632900,0,,"On Time"
1480632109,"North Station","295","Reading",1480633500,0,,"On Time"
1480632109,"North Station","173","Newburyport",1480633500,0,,"On Time"
1480632109,"North Station","219","Haverhill",1480634700,0,,"On Time"
1480632109,"North Station","425","Wachusett",1480634700,0,,"On Time"
1480632109,"North Station","121","Rockport",1480634700,0,,"On Time"
1480632109,"North Station","337","Lowell",1480635000,0,,"On Time"
1480632109,"North Station","175","Newburyport",1480635900,0,,"On Time"
1480632109,"North Station","221","Haverhill",1480636500,0,,"On Time"
1480632109,"North Station","427","Wachusett",1480637700,0,,"On Time"
1480632109,"North Station","123","Rockport",1480637700,0,,"On Time"
1480632109,"North Station","297","Reading",1480638000,0,,"On Time"
1480632109,"North Station","339","Lowell",1480638300,0,,"On Time"
1480632109,"North Station","177","Newburyport",1480638900,0,,"On Time"
1480632109,"North Station","223","Haverhill",1480639200,0,,"On Time"
1480632109,"North Station","341","Lowell",1480642500,0,,"On Time"
1480632109,"North Station","429","Wachusett",1480643100,0,,"On Time"
1480632109,"South Station","523","Worcester / Union Station",1480632000,0,"2","All Aboard"
1480632109,"South Station","721","Forge Park / 495",1480632300,0,"3","Now Boarding"
1480632109,"South Station","825","Wickford Junction",1480632000,300,"9","Now Boarding"
1480632109,"South Station","777","Readville",1480632300,0,"10","Now Boarding"
1480632109,"South Station","087","Greenbush",1480632300,0,"13","Now Boarding"
1480632109,"South Station","919","Stoughton",1480632600,60,"5","Now Boarding"
1480632109,"South Station","525","Worcester / Union Station",1480632600,120,"4","Now Boarding"
1480632109,"South Station","023","Middleboro/Lakeville",1480633020,0,,"On Time"
1480632109,"South Station","621","Needham Heights",1480633080,0,,"On Time"
1480632109,"South Station","827","Providence",1480633800,0,,"On Time"
1480632109,"South Station","067","Plymouth",1480634100,0,,"On Time"
1480632109,"South Station","527","Worcester / Union Station",1480634400,0,,"On Time"
1480632109,"South Station","723","Forge Park / 495",1480634400,0,,"On Time"
1480632109,"South Station","921","Stoughton",1480635000,0,,"On Time"
1480632109,"South Station","779","Readville",1480635000,0,,"On Time"
1480632109,"South Station","623","Needham Heights",1480635360,0,,"On Time"
1480632109,"South Station","089","Greenbush",1480635480,0,,"On Time"
1480632109,"South Station","529","Worcester / Union Station",1480635900,0,,"On Time"
1480632109,"South Station","829","Wickford Junction",1480636200,0,,"On Time"
